,id,vid,url
0,41950,UYTGe1ixPcc,https://www.youtube.com/watch?v=UYTGe1ixPcc
1,41718,pd3bErSrLio,https://www.youtube.com/watch?v=pd3bErSrLio
2,41950,4_qZdxTeqvU,https://www.youtube.com/watch?v=4_qZdxTeqvU
3,40610,17DCH80pzRk,https://www.youtube.com/watch?v=17DCH80pzRk
4,91515,BanqwWgLqt8,https://www.youtube.com/watch?v=BanqwWgLqt8
5,109972,OFUo0kv-5uw,https://www.youtube.com/watch?v=OFUo0kv-5uw
6,105222,g3HNsRMt6XQ,https://www.youtube.com/watch?v=g3HNsRMt6XQ
7,59684,SrTcPLiReSA,https://www.youtube.com/watch?v=SrTcPLiReSA
8,113766,rqDScxbMDqc,https://www.youtube.com/watch?v=rqDScxbMDqc
9,76400,5Q_UYljqssk,https://www.youtube.com/watch?v=5Q_UYljqssk
10,77721,LZXkdayGMBQ,https://www.youtube.com/watch?v=LZXkdayGMBQ
11,59684,52SBQDrEjXU,https://www.youtube.com/watch?v=52SBQDrEjXU
12,40570,LY3KrV1yRWE,https://www.youtube.com/watch?v=LY3KrV1yRWE
13,77721,GasUDZrpDgE,https://www.youtube.com/watch?v=GasUDZrpDgE
14,40567,AT_pPlJTiyE,https://www.youtube.com/watch?v=AT_pPlJTiyE
15,53193,dBM3bGpnMWk,https://www.youtube.com/watch?v=dBM3bGpnMWk
16,71781,nuhomPpLIwA,https://www.youtube.com/watch?v=nuhomPpLIwA
17,105222,MG8Frk8xCnM,https://www.youtube.com/watch?v=MG8Frk8xCnM
18,109972,pQSoBkZW2_o,https://www.youtube.com/watch?v=pQSoBkZW2_o
19,91537,jxkyNQ8kQoQ,https://www.youtube.com/watch?v=jxkyNQ8kQoQ
20,94276,5OG6cLUolpU,https://www.youtube.com/watch?v=5OG6cLUolpU
21,113766,KlGzRoIMZbU,https://www.youtube.com/watch?v=KlGzRoIMZbU
22,109972,hH1ainnOy6c,https://www.youtube.com/watch?v=hH1ainnOy6c
23,87706,lGfZRSjmpDg,https://www.youtube.com/watch?v=lGfZRSjmpDg
24,53195,u5I-0yFGNZQ,https://www.youtube.com/watch?v=u5I-0yFGNZQ
25,77721,WVdIej08hF8,https://www.youtube.com/watch?v=WVdIej08hF8
26,110266,Q-kS53I4ikE,https://www.youtube.com/watch?v=Q-kS53I4ikE
27,105253,Vzq2iz_v-z4,https://www.youtube.com/watch?v=Vzq2iz_v-z4
28,71781,6DSsyfBJC4U,https://www.youtube.com/watch?v=6DSsyfBJC4U
29,96366,5fyUsbnfflY,https://www.youtube.com/watch?v=5fyUsbnfflY
30,109972,_M5wluD9gGM,https://www.youtube.com/watch?v=_M5wluD9gGM
31,95603,NrLU_sCrVXg,https://www.youtube.com/watch?v=NrLU_sCrVXg
32,34938,_2uFcneXTkc,https://www.youtube.com/watch?v=_2uFcneXTkc
33,105762,ooVteOmAQlA,https://www.youtube.com/watch?v=ooVteOmAQlA
34,41773,j9TLx0PpfCg,https://www.youtube.com/watch?v=j9TLx0PpfCg
35,40567,BmbIoOLbswA,https://www.youtube.com/watch?v=BmbIoOLbswA
36,91515,mrZ4iZxCdFk,https://www.youtube.com/watch?v=mrZ4iZxCdFk
37,44047,b21PQg4KOYg,https://www.youtube.com/watch?v=b21PQg4KOYg
38,94276,-HHnfRzlZ7g,https://www.youtube.com/watch?v=-HHnfRzlZ7g
39,23521,qLnTkIUO0so,https://www.youtube.com/watch?v=qLnTkIUO0so
40,40567,en-Dh38rnGc,https://www.youtube.com/watch?v=en-Dh38rnGc
41,105222,3PxUrdtHhH0,https://www.youtube.com/watch?v=3PxUrdtHhH0
